"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"71631420-0","Jūras apdrošināšanas izpētes pakalpojumi.","Maritime safety inspection services",12
"71631430-3","Noplūdes testēšanas pakalpojumi.","Leak-testing services",12
"71631440-6","Plūsmas uzraudzības pakalpojumi.","Flow-monitoring services",12
"71631450-9","Tiltu pārbaudes pakalpojumi.","Bridge-inspection services",12
"71631460-2","Aizsprostu pārbaudes pakalpojumi.","Dam-inspection services",12
"71631470-5","Dzelzceļa sliežu pārbaudes pakalpojumi.","Railway-track inspection services",12
"71631480-8","Ceļu pārbaudes pakalpojumi.","Road-inspection services",12
"71631490-1","Skrejceļu pārbaudes pakalpojumi.","Runway-inspection services",12
"71632000-7","Tehniskās testēšanas pakalpojumi.","Technical testing services",12
"71632100-8","Vārstu testēšanas pakalpojumi.","Valve-testing services",12
"71632200-9","Testēšanas pakalpojumi, kas nav saistīti ar procesa vai konstrukcijas izjaukšanu.","Non-destructive testing services",12
"71700000-5","Uzraudzības un kontroles pakalpojumi.","Monitoring and control services",12
"71730000-4","Ražošanas pārbaudes pakalpojumi.","Industrial inspection services",12
"71731000-1","Ražošanas kvalitātes kontroles pakalpojumi.","Industrial quality control services",12
"71800000-6","Konsultāciju pakalpojumi ūdens apgādes un atkritumu jomā.","Consulting services for water-supply and waste consultancy",12
"71900000-7","Laboratorijas pakalpojumi.","Laboratory services",12
"72000000-5","IT pakalpojumi konsultēšana, programmatūras izstrāde, internets un atbalsts.","IT services: consulting, software development, Internet and support",7
"72100000-6","Datortehnikas konsultāciju pakalpojumi.","Hardware consultancy services",7
"72110000-9","Datoriekārtu izvēles konsultāciju pakalpojumi.","Hardware selection consultancy services",7
"72120000-2","Datoriekārtu kļūmes novēršanas konsultāciju pakalpojumi.","Hardware disaster-recovery consultancy services",7
"72130000-5","Datortīklu plānošanas konsultāciju pakalpojumi.","Computer-site planning consultancy services",7
"72140000-8","Datoriekārtu pieņemšanas testēšanas konsultāciju pakalpojumi.","Computer hardware acceptance testing consultancy services",7
"72150000-1","Datoru audita konsultāciju un datortehnikas konsultāciju pakalpojumi.","Computer audit consultancy and hardware consultancy services",7
"72200000-7","Programmatūras izstrādes un konsultāciju pakalpojumi.","Software programming and consultancy services",7
"72210000-0","Programmatūras pakešu programmēšanas pakalpojumi.","Programming services of packaged software products",7
"72211000-7","Sistēmu un lietotāju programmatūras programmēšanas pakalpojumi.","Programming services of systems and user software",7
"72212000-4","Lietojumprogrammu programmēšanas pakalpojumi.","Programming services of application software",7
"72212100-0","Specizalizētas programmatūras izstrādes pakalpojumi.","Industry specific software development services",7
"72212110-3","POS termināla programmatūras izstrādes pakalpojumi.","Point of sale (POS) software development services",7
"72212120-6","Lidojuma vadības programmatūras izstrādes pakalpojumi.","Flight control software development services",7
"72212121-3","Gaisa satiksmes vadības programmatūras izstrādnes pakalpojumi.","Air traffic control software development services",7
"72212130-9","Aviācija — zemes apkalpošanas un testēšanas programmatūras izstrādes pakalpojumi.","Aviation ground support and test software development services",7
"72212131-6","Aviācija — zemes apkalpošanas programmatūras izstrādes pakalpojumi.","Aviation ground support software development services",7
"72212132-3","Aviācija — testēšanas programmatūras izstrādes pakalpojumi.","Aviation test software development services",7
"72212140-2","Dzelzceļa satiksmes vadības programmatūras izstrādnes pakalpojumi.","Railway traffic control software development services",7
"72212150-5","Industriālas vadības programmatūras izstrādes pakalpojumi.","Industrial control software development services",7
"72212160-8","Bibliotēkas programmatūras izstrādes pakalpojumi.","Library software development services",7
"72212170-1","Atbilsmes pārbaudes programmatūras izstrādes pakalpojumi.","Compliance software development services",7
"72212180-4","Medicīnas programmatūras izstrādes pakalpojumi.","Medical software development services",7
"72212190-7","Izglītības programmatūras izstrādes pakalpojumi.","Educational software development services",7
"72212200-1","Tīkla, interneta un iekštīkla programmatūras izstrādes pakalpojumi.","Networking, Internet and intranet software development services",7
"72212210-4","Tīkla programmatūras izstrādes pakalpojumi.","Networking software development services",7
"72212211-1","Platformu savienojamību nodrošinošas programmatūras izstrādes pakalpojumi.","Platform interconnectivity software development services",7
"72212212-8","Ar optiskos diskus automātiski nomainošu diskdzini [optical jukebox] aprīkota servera programmatūras izstrādes pakalpojumi","Optical jukebox server software development services",7
"72212213-5","Operētājsistēmas darbības uzlabošanas programmatūras izstrādes pakalpojumi.","Operating system enhancement software development services",7
"72212214-2","Tīkla operētājsistēmas programmatūras izstrādes pakalpojumi.","Network operating system software development services",7
"72212215-9","Tīkla izstrādātāja programmatūras izstrādes pakalpojumi.","Networking developers software development services",7
"72212216-6","Tīkla savienojamības termināla emulācijas programmatūras izstrādes pakalpojumi.","Network connectivity terminal emulation software development services",7
"72212217-3","Transakciju apstrādes programmatūras izstrādes pakalpojumi.","Transaction-processing software development services",7
"72212218-0","Licenču pārvaldības programmatūras izstrādes pakalpojumi.","License management software development services",7
"72212219-7","Dažādu tīkla programmatūru izstrādes pakalpojumi.","Miscellaneous networking software development services",7
"72212220-7","Tīkla un iekštīkla programmatūras izstrādes pakalpojumi.","Internet and intranet software development services",7
"72212221-4","Interneta pārlūkošanas programmatūras izstrādes pakalpojumi.","Internet browsing software development services",7
"72212222-1","Tīmekļa servera programmatūras izstrādes pakalpojumi.","Web server software development services",7
"72212223-8","Elektroniskā pasta programmatūras izstrādes pakalpojumi.","Electronic mail software development services",7
"72212224-5","Tīmekļa lappuses satura rediģēšanas programmatūras izstrādes pakalpojumi.","Web page editing software development services",7
"72212300-2","Dokumentu izveides, zīmēšanas, attēlveidošanas, plānošanas un darba grupu uzturēšanas programmatūras izstrādes pakalpojumi.","Document creation, drawing, imaging, scheduling and productivity software development services",7
"72212310-5","Dokumentu izveides programmatūras izstrādes pakalpojumi.","Document creation software development services",7
"72212311-2","Dokumentu pārvaldības programmatūras izstrādes pakalpojumi.","Document management software development services",7
"72212312-9","Elektroniskās publicēšanas programmatūras izstrādes pakalpojumi.","Electronic publishing software development services",7
"72212313-6","Rakstzīmju optiskā pazīšanas (OCR) programmatūras izstrādes pakalpojumi.","Optical-character-recognition (OCR) software development services",7
"72212314-3","Runas atpazīšanas programmatūras izstrādes pakalpojumi.","Voice recognition software development services",7
"72212315-0","Datorizdevniecības programmatūras izstrādes pakalpojumi.","Desktop-publishing software development services",7
"72212316-7","Prezentāciju izveides programmatūras izstrādes pakalpojumi.","Presentation software development services",7
"72212317-4","Tekstapstrādes programmatūras izstrādes pakalpojumi.","Word-processing software development services",7
"72212318-1","Skenera programmatūras izstrādes pakalpojumi.","Scanner software development services",7
"72212320-8","Zīmēšanas un attēlveidošanas programmatūras izstrādes pakalpojumi.","Drawing and imaging software development services",7
"72212321-5","Datorizētās projektēšanas (CAD) programmatūras izstrādes pakalpojumi.","Computer-aided design (CAD) software development services",7
"72212322-2","Grafikas programmatūras izstrādes pakalpojumi.","Graphics software development services",7
"72212323-9","Datorizētās ražošanas (CAM) programmatūras izstrādes pakalpojumi.","Computer-aided manufacturing (CAM) software development services",7
"72212324-6","Diagrammu programmatūras izstrādes pakalpojumi.","Charting software development services",7
"72212325-3","Veidlapu izveides programmatūras izstrādes pakalpojumi.","Form making software development services",7
"72212326-0","Kartēšanas programmatūras izstrādes pakalpojumi.","Mapping software development services",7
"72212327-7","Zīmēšanas un krāsošanas programmatūras izstrādes pakalpojumi.","Drawing and painting software development services",7
"72212328-4","Attēlapstrādes programmatūras izstrādes pakalpojumi.","Image-processing software development services",7
"72212330-1","Plānošanas un darba grupu uzturēšanas programmatūras izstrādes pakalpojumi.","Scheduling and productivity software development services",7
"72212331-8","Projekta pārvaldības programmatūras izstrādes pakalpojumi.","Project management software development services",7
"72212332-5","Plānošanas programmatūras izstrādes pakalpojumi.","Scheduling software development services",7
"72212333-2","Kontaktpersonu pārvaldības programmatūras izstrādes pakalpojumi.","Contact management software development services",7
"72212400-3","Uzņēmējdarbības darījumu un individālo darījumu pārvaldības programmatūras izstrādes pakalpojumi.","Business transaction and personal business software development services",7
"72212410-6","Investīciju pārvaldības un nodokļu aprēķina programmatūras izstrādes pakalpojumi.","Investment management and tax preparation software development services",7
"72212411-3","Investīciju pārvaldības programmatūras izstrādes pakalpojumi.","Investment management software development services",7
"72212412-0","Nodokļu aprēķina programmatūras izstrādes pakalpojumi.","Tax preparation software development services",7
"72212420-9","Nekustamā īpašuma pārvaldības programmatūras izstrādes pakalpojumi un programmatūras izstrādes pakalpojumu komplekss.","Facilities management software development services and software development services suite",7
"72212421-6","Nekustamā īpašuma pārvaldības programmatūras izstrādes pakalpojumi.","Facilities management software development services",7
"72212422-3","Programmatūras izstrādes pakalpojumu kompleksi.","Software development services suites",7
"72212430-2","Krājumu vadības programmatūras izstrādes pakalpojumi.","Inventory management software development services",7
"72212440-5","Finanšu datu analīzes un grāmatvedības programmatūras izstrādes pakalpojumi.","Financial analysis and accounting software development services",7
"72212441-2","Finanšu datu analīzes programmatūras izstrādes pakalpojumi.","Financial analysis software development services",7
"72212442-9","Finanšu sistēmu programmatūras izstrādes pakalpojumi.","Financial systems software development services",7
"72212443-6","Grāmatvedības programmatūras izstrādes pakalpojumi.","Accounting software development services",7
"72212445-0","Klientu pārvaldības programmatūras izstrādes pakalpojumi.","Customer Relation Management software development services",7
"72212450-8","Laika uzskaites vai darbaspēka programmatūras izstrādes pakalpojumi.","Time accounting or human resources software development services",7
"72212451-5","Uzņēmuma resursu plānošanas programmatūras izstrādes pakalpojumi.","Enterprise resource planning software development services",7
"72212460-1","Analītiskās, zinātniskās, matemātiskās vai prognozēšanas programmatūras izstrādes pakalpojumi.","Analytical, scientific, mathematical or forecasting software development services",7
"72212461-8","Analītiskās vai zinātniskās programmatūras izstrādes pakalpojumi.","Analytical or scientific software development services",7
"72212462-5","Matemātiskās vai prognozēšanas programmatūras izstrādes pakalpojumi.","Mathematical or forecasting software development services",7
"72212463-2","Statistikas programmatūras izstrādes izstrādes pakalpojumi.","Statistical software development services",7
"72212470-4","Izsoles programmatūras izstrādes pakalpojumi.","Auction software development services",7
"72212480-7","Tirdzniecības, tirgzinības un komercizpētes programmatūras izstrādes pakalpojumi.","Sales, marketing and business intelligence software development services",7
"72212481-4","Tirdzniecības vai tirgzinības programmatūras izstrādes pakalpojumi.","Sales or marketing software development services",7
"72212482-1","Komercizpētes programmatūras izstrādes pakalpojumi.","Business intelligence software development services",7
"72212490-0","Sagādes programmatūras izstrādes pakalpojumi.","Procurement software development services",7
"72212500-4","Sakaru un multivides programmatūras izstrādes pakalpojumi.","Communication and multimedia software development services",7
"72212510-7","Sakaru programmatūras izstrādes pakalpojumi.","Communication software development services",7
"72212511-4","Darbvirsmas sakaru [desktop communications] programmatūras izstrādes pakalpojumi.","Desktop communications software development services",7
"72212512-1","Interaktīvas balssatbildes programmatūras izstrādes pakalpojumi.","Interactive voice response software development services",7
"72212513-8","Modema programmatūras izstrādes pakalpojumi.","Modem software development services",7
"72212514-5","Attālās piekļuves programmatūras izstrādes pakalpojumi.","Remote access software development services",7
"72212515-2","Videokonferences programmatūras izstrādes pakalpojumi.","Video conferencing software development services",7
"72212516-9","Apmaiņas programmatūras izstrādes pakalpojumi.","Exchange software development services",7
"72212517-6","IT programmatūras izstrādes pakalpojumi.","IT software development services",7
"72212518-3","Emulācijas programmatūras izstrādes pakalpojumi.","Emulation software development services",7
"72212519-0","Atmiņas pārvaldības programmatūras izstrādes pakalpojumi.","Memory-management software development services",7
"72212520-0","Multivides programmatūras izstrādes pakalpojumi.","Multimedia software development services",7
"72212521-7","Mūzikas vai skaņas apstrādes programmatūras izstrādes pakalpojumi.","Music or sound editing software development services",7
"72212522-4","Virtuālās tastatūras programmatūras izstrādes pakalpojumi.","Virtual keyboard software development services",7
"72212600-5","Datu bāzes un operētājsistēmas programmatūras izstrādes pakalpojumi.","Database and operating software development services",7
"72212610-8","Datu bāzes programmatūras izstrādes pakalpojumi.","Database software development services",7
"72212620-1","Lieldatoru operētājsistēmas programmatūras izstrādes pakalpojumi.","Mainframe operating system software development services",7
"72212630-4","Minidatoru operētājsistēmas programmatūras izstrādes pakalpojumi.","Minicomputer operating system software development services",7
"72212640-7","Mikrodatoru operētājsistēmas programmatūras izstrādes pakalpojumi.","Microcomputer operating system software development services",7
"72212650-0","Personālo datoru (PC) operētājsistēmas programmatūras izstrādes pakalpojumi.","Personal computer (PC) operating system software development services",7
"72212660-3","Klasterizveides programmatūras izstrādes pakalpojumi.","Clustering software development services",7
"72212670-6","Reāla laika operētājsistēmas programmatūras izstrādes pakalpojumi.","Real time operating system software development services",7
"72212700-6","Programmatūras izstrādes pakalpojumu utilītprogammas.","Software development services utilities",7
"72212710-9","Dublēšanas vai atkopšanas programmatūras izstrādes pakalpojumi.","Backup or recovery software development services",7
"72212720-2","Svītrkoda apstrādes programmatūras izstrādes pakalpojumi.","Bar coding software development services",7
"72212730-5","Drošības programmatūras izstrādes pakalpojumi.","Security software development services",7
"72212731-2","Datnes drošības programmatūras izstrādes pakalpojumi.","File security software development services",7
"72212732-9","Datu drošības programmatūras izstrādes pakalpojumi.","Data security software development services",7
"72212740-8","Svešvalodu tulkošanas programmatūras izstrādes pakalpojumi.","Foreign language translation software development services",7
"72212750-1","Datu nesēja satura ielādes programmatūras izstrādes pakalpojumi.","Storage media loading software development services",7
"72212760-4","Aizsardzībai pret vīrusiem paredzētas programmatūras izstrādes pakalpojumi.","Virus protection software development services",7
"72212761-1","Pretvīrusu programmatūras izstrādes pakalpojumi.","Anti-virus software development services",7
"72212770-7","Universālas, saspiešanas un drukas utilītprogrammatūru izstrādes pakalpojumi.","General, compression and print utility software development services",7
"72212771-4","Universālas utilītprogrammatūras izstrādes pakalpojumi.","General utility software development services",7
"72212772-1","Drukas utilītprogrammatūras izstrādes pakalpojumi.","Print utility software development services",7
"72212780-0","Sistēmas, glabāšanas un satura pārvaldības programmatūras izstrādes pakalpojumi.","System, storage and content management software development services",7
"72212781-7","Sistēmu pārvaldības programmatūras izstrādes pakalpojumi.","System management software development services",7
"72212782-4","Glabāšanas pārvaldības programmatūras izstrādes pakalpojumi.","Storage management software development services",7
"72212783-1","Satura pārvaldības programmatūras izstrādes pakalpojumi.","Content management software development services",7
"72212790-3","Versiju pārbaudes programmatūras izstrādes pakalpojumi.","Version checker software development services",7
"72212900-8","Dažādas programmatūras izstrādes pakalpojumi un datoru sistēmas.","Miscellaneous software development services and computer systems",7
"72212910-1","Datorspēļu programmatūras izstrādes pakalpojumi, ģimenes spēles un ekrānsaudzētāji.","Computer game software development services, family titles and screen savers",7
"72212911-8","Datorspēļu programmatūras izstrādes pakalpojumi.","Computer game software development services",7
"72212920-4","Biroja automatizācijas programmatūras izstrādes pakalpojumi.","Office automation software development services",7
"72212930-7","Mācību un izklaides programmatūras izstrādes pakalpojumi.","Training and entertainment software development services",7
"72212931-4","Mācību programmatūras izstrādes pakalpojumi.","Training software development services",7
"72212932-1","Izklaides programmatūras izstrādes pakalpojumi.","Entertainment software development services",7
"72212940-0","Parauga izstrādes un kalendāra programmatūras izstrādes pakalpojumi.","Pattern design and calendar software development services",7
"72212941-7","Parauga izstrādes programmatūras izstrādes pakalpojumi.","Pattern design software development services",7
"72212942-4","Kalendāra programmatūras izstrādes pakalpojumi.","Calendar software development services",7
"72212960-6","Draiveru un sistēmu programmatūras izstrādes pakalpojumi.","Drivers and system software development services",7
"72212970-9","Drukas programmatūras izstrādes pakalpojumi.","Print shop software development services",7
"72212971-6","Adrešu grāmatas izveides programmatūras izstrādes pakalpojumi.","Address book making software development services",7
"72212972-3","Etiķešu izveides programmatūras izstrādes pakalpojumi.","Label making software development services",7
"72212980-2","Programmēšanas valodu un rīku izstrādes pakalpojumi.","Programming languages and tools development services",7
"72212981-9","Kompilatorprogrammatūras izstrādes pakalpojumi.","Compiling software development services",7
"72212982-6","Konfigurācijas pārvaldības programmatūras izstrādes pakalpojumi.","Configuration management software development services",7
"72212983-3","Izstrādes programmatūras izstrādes pakalpojumi.","Development software development services",7
"72212984-0","Programmu testēšanas programmatūras izstrādes pakalpojumi.","Program testing software development services",7
"72212985-7","Atkļūdošanas programmatūras izstrādes pakalpojumi.","Debugging software development services",7
"72212990-5","Izklājlapu un uzlabošanas programmatūras izstrādes pakalpojumi.","Spreadsheets and enhancement software development services",7
"72212991-2","Izklājlapu programmatūras izstrādes pakalpojumi.","Spreadsheet software development services",7
"72220000-3","Sistēmu un tehnisko konsultāciju pakalpojumi.","Systems and technical consultancy services",7
"72221000-0","Uzņēmējdarbības analīzes konsultāciju pakalpojumi.","Business analysis consultancy services",7
"72222000-7","Informācijas sistēmu vai tehnoloģijas stratēģiskā pārskata un plānošanas pakalpojumi.","Information systems or technology strategic review and planning services",7
"72222100-8","Informācijas sistēmu vai tehnoloģijas stratēģiskā pārskata pakalpojumi.","Information systems or technology strategic review services",7
"72222200-9","Informācijas sistēmu vai tehnoloģijas plānošanas pakalpojumi.","Information systems or technology planning services",7
"72222300-0","Informācijas tehnoloģijas pakalpojumi.","Information technology services",7
"72223000-4","Informācijas tehnoloģijas prasību pārskata pakalpojumi.","Information technology requirements review services",7
"72224000-1","Projektu vadības konsultāciju pakalpojumi.","Project management consultancy services",7
"72224100-2","Sistēmas ieviešanas plānošanas pakalpojumi.","System implementation planning services",7
"72224200-3","Sistēmas kvalitātes nodrošināšanas plānošanas pakalpojumi.","System quality assurance planning services",7
"72225000-8","Sistēmas kvalitātes nodrošināšanas novērtēšanas un pārskata pakalpojumi.","System quality assurance assessment and review services",7
"72226000-5","Sistēmas programmatūras pieņemšanas testēšanas konsultāciju pakalpojumi.","System software acceptance testing consultancy services",7
"72227000-2","Programmatūras integrēšanas konsultāciju pakalpojumi.","Software integration consultancy services",7
"72228000-9","Datoriekārtu integrēšanas konsultāciju pakalpojumi.","Hardware integration consultancy services",7
"72230000-6","Klienta vajadzībām pielāgotas programmatūras izstrādes pakalpojumi.","Custom software development services",7
"72231000-3","Militārā lietojuma programmatūras izstrāde.","Development of software for military applications",7
"72232000-0","Darījumu apstrādes un individuālā pasūtījuma programmatūras izstrāde.","Development of transaction processing and custom software",7
"72240000-9","Sistēmu analīzes un programmēšanas pakalpojumi.","Systems analysis and programming services",7
"72241000-6","Kritiskās plānošanas projektu specifikācijas pakalpojumi.","Critical design target specification services",7
"72242000-3","Plānošanas un modelēšanas pakalpojumi.","Design-modelling services",7
"72243000-0","Programmēšanas pakalpojumi.","Programming services",7
"72244000-7","Prototipa izstrādes pakalpojumi.","Prototyping services",7
"72245000-4","Līgumu sistēmu analīzes un programmēšanas pakalpojumi.","Contract systems analysis and programming services",7
"72246000-1","Sistēmu konsultāciju pakalpojumi.","Systems consultancy services",7
"72250000-2","Sistēmas un atbalsta pakalpojumi.","System and support services",7
"72251000-9","Datorkļūmes novēršanas pakalpojumi.","Disaster recovery services",7
"72252000-6","Datoru arhivēšanas pakalpojumi.","Computer archiving services",7
"72253000-3","Palīdzības dienesta un atbalsta pakalpojumi.","Helpdesk and support services",7
"72253100-4","Palīdzības dienesta pakalpojumi.","Helpdesk services",7
"72253200-5","Sistēmu atbalsta pakalpojumi.","Systems support services",7
"72254000-0","Programmatūras testēšana.","Software testing",7
"72254100-1","Sistēmu testēšanas pakalpojumi.","Systems testing services",7
"72260000-5","Ar programmatūru saistītie pakalpojumi.","Software-related services",7
"72261000-2","Programmatūras atbalsta pakalpojumi.","Software support services",7
"72262000-9","Programmatūras izstrādes pakalpojumi.","Software development services",7
"72263000-6","Programmatūras ieviešanas pakalpojumi.","Software implementation services",7
"72264000-3","Programmatūras reproducēšanas pakalpojumi.","Software reproduction services",7
"72265000-0","Programmatūras konfigurēšanas pakalpojumi.","Software configuration services",7
"72266000-7","Programmatūras konsultāciju pakalpojumi.","Software consultancy services",7
"72267000-4","Programmatūras uzturēšanas un labošanas pakalpojumi.","Software maintenance and repair services",7
"72267100-0","Informācijas tehnoloģiju programmatūras tehniskā uzturēšana.","Maintenance of information technology software",7
"72267200-1","Informācijas tehnoloģiju programmatūras labošana.","Repair of information technology software",7
"72268000-1","Programmatūras piegādes pakalpojumi.","Software supply services",7
"72300000-8","Datu pakalpojumi.","Data services",7
"72310000-1","Datu apstrādes pakalpojumi.","Data-processing services",7
"72311000-8","Datoru tabulācijas pakalpojumi.","Computer tabulation services",7
"72311100-9","Datu pārveidošanas pakalpojumi.","Data conversion services",7
"72311200-0","Datu pakešu apstrādes pakalpojumi.","Batch processing services",7
"72311300-1","Datora laikdales pakalpojumi.","Computer time-sharing services",7
"72312000-5","Datu ievades pakalpojumi.","Data entry services",7
"72312100-6","Datu sagatavošanas pakalpojumi.","Data preparation services",7
"72312200-7","Rakstzīmju optiskās pazīšanas pakalpojumi.","Optical character recognition services",7
"72313000-2","Datu iegūšanas pakalpojumi.","Data capture services",7
"72314000-9","Datu apkopošanas un salīdzināšanas pakalpojumi.","Data collection and collation services",7
"72315000-6","Datu tīkla vadības un atbalsta pakalpojumi.","Data network management and support services",7
"72315100-7","Datu tīkla atbalsta pakalpojumi.","Data network support services",7
"72315200-8","Datu tīkla vadības pakalpojumi.","Data network management services",7
"72316000-3","Datu analīzes pakalpojumi.","Data analysis services",7
"72317000-0","Datu uzglabāšanas pakalpojumi.","Data storage services",7
"72318000-7","Datu pārraides pakalpojumi.","Data transmission services",5
"72319000-4","Datu piegādes pakalpojumi.","Data supply services",7
"72320000-4","Datu bāzu pakalpojumi.","Database services",7
"72321000-1","Datu bāzes pakalpojumi ar pievienoto vērtību.","Added-value database services",7
"72322000-8","Datu pārvaldīšanas pakalpojumi.","Data management services",7
"72330000-2","Satura vai datu standartizācijas un slepenošanas pakalpojumi.","Content or resultData standardization and classification services",7
"72400000-4","Interneta pakalpojumi.","Internet services",7
"72410000-7","Pakalpojumu sniedzēja pakalpojumi.","Provider services",7
"72411000-4","Interneta pakalpojumu sniedzēji (ISP).","Internet service providers ISP",7
"72412000-1","Elektroniskā pasta pakalpojumu sniedzējs.","Electronic mail service provider",7
"72413000-8","Globālā tīmekļa WWW lapu projektēšanas pakalpojumi.","World wide web (www) site design services",7
"72414000-5","Tīmekļa meklētājprogrammas piedāvātāji.","Web search engine providers",7
"72415000-2","Globālā tīmekļa WWW lapu mitināšanas pakalpojumi.","World wide web (www) site operation host services",7
"72416000-9","Lietojumprogrammu pakalpojumu piegādātāji.","Application service providers",7
"72417000-6","Interneta domēna vārdi.","Internet domain names",7
"72420000-0","Interneta izstrādes pakalpojumi.","Internet development services",7
"72421000-7","Interneta vai iekštīkla klienta lietojumprogrammas izstrādes pakalpojumi.","Internet or intranet client application development services",7
"72422000-4","Interneta vai iekštīkla servera lietojumprogrammas izstrādes pakalpojumi.","Internet or intranet server application development services",7
"72500000-0","Datorsaistītie pakalpojumi.","Computer-related services",7
"72510000-3","Datorsaistītie vadības pakalpojumi.","Computer-related management services",7
"72511000-0","Tīkla vadības programmatūras pakalpojumi.","Network management software services",7
"72512000-7","Dokumentu pārvaldības pakalpojumi.","Document management services",7
"72513000-4","Biroja automatizācijas pakalpojumi.","Office automation services",7
"72514000-1","Datoriekārtu vadības pakalpojumi.","Computer facilities management services",7
"72514100-2","Ar datoru ekspluatāciju saistītie pārvaldības pakalpojumi.","Facilities management services involving computer operation",7
"72514200-3","Pārvaldības pakalpojumi datorsistēmu izstrādei.","Facilities management services for computer systems development",7
"72514300-4","Pārvaldības pakalpojumi datorsistēmu uzturēšanai.","Facilities management services for computer systems maintenance",7
"72540000-2","Datoru modernizācijas pakalpojumi.","Computer upgrade services",7
"72541000-9","Datoru paplašināšanas pakalpojumi.","Computer expansion services",7
"72541100-0","Atmiņas palielināšanas pakalpojumi.","Memory expansion services",7
"72590000-7","Datorsaistītie profesionālie pakalpojumi.","Computer-related professional services",7
"72591000-4","Pakalpojumu līgumu izstrāde.","Development of service level agreements",7
"72600000-6","Datoru atbalsta un konsultāciju pakalpojumi.","Computer support and consultancy services",7
"72610000-9","Datoru atbalsta pakalpojumi.","Computer support services",7
"72611000-6","Datoru tehniskā atbalsta pakalpojumi.","Technical computer support services",7
"72700000-7","Datortīkla pakalpojumi.","Computer network services",5
"72710000-0","Vietējā datortīkla pakalpojumi.","Local area network services",5
"72720000-3","Teritoriālā datortīkla pakalpojumi.","Wide area network services",5
"72800000-8","Datora audita un testēšanas pakalpojumi.","Computer audit and testing services",7
"72810000-1","Datoru audita pakalpojumi.","Computer audit services",7
"72820000-4","Datoru testēšanas pakalpojumi.","Computer testing services",7
"72900000-9","Datora dublēšanas un katalogu pārveides pakalpojumi.","Computer back-up and catalogue conversion services",7
"72910000-2","Datoru dublējumkopiju pakalpojumi.","Computer back-up services",7
"72920000-5","Datoru katalogu konversijas pakalpojumi.","Computer catalogue conversion services",7
"73000000-2","Pētniecības un izstrādes pakalpojumi un saistītie konsultāciju pakalpojumi.","(4) Research and development services and related consultancy services",8
"73100000-3","Pētniecības un eksperimentālās izstrādes pakalpojumi.","Research and experimental development services",8
"73110000-6","Pētniecības pakalpojumi.","Research services",8
"73111000-3","Pētniecības laboratoriju pakalpojumi.","Research laboratory services",8
"73112000-0","Jūras pētniecības pakalpojumi.","Marine research services",8
"73120000-9","Eksperimentālās izstrādes pakalpojumi.","Experimental development services",8
"73200000-4","Pētniecības un izstrādes konsultāciju pakalpojumi.","Research and development consultancy services",11
"73210000-7","Pētniecības konsultāciju pakalpojumi.","Research consultancy services",11
"73220000-0","Izstrādes konsultāciju pakalpojumi.","Development consultancy services",11
"73300000-5","Pētniecības un izstrādes plānošana un izpilde.","Design and execution of research and development",8
"73400000-6","Pētniecības un izstrādes pakalpojumi par drošību un aizsardzības materiāliem.","Research and Development services on security and defence materials",8
"73410000-9","Militārā pētniecība un tehnoloģijas.","Military research and technology",8
"73420000-2","Priekšizpēte un tehnoloģiskā demonstrācija.","Pre-feasibility study and technological demonstration",8
"73421000-9","Drošības iekārtu izstrāde.","Development of security equipment",8
"73422000-6","Šaujamieroču un munīcijas izstrāde.","Development of firearms and ammunition",8
"73423000-3","Militāro transportlīdzekļu izstrāde.","Development of military vehicles",8
"73424000-0","Karakuģu izstrāde.","Development of warships",8
"73425000-7","Militārās aviācijas, raķešu un kosmosa kuģu izstrāde.","Development of military aircrafts, missiles and spacecrafts",8
"73426000-4","Militāro elektronisko sistēmu izstrāde.","Development of military electronic systems",8
"73430000-5","Testi un novērtēšana.","Test and evaluation",8
"73431000-2","Drošības iekārtu testi un novērtēšana.","Test and evaluation of security equipment",8
"73432000-9","Šaujamieroču un munīcijas testi un novērtēšana.","Test and evaluation of firearms and ammunition",8
"73433000-6","Militāro transportlīdzekļu testi un novērtēšana.","Test and evaluation of military vehicles",8
"73434000-3","Karakuģu testi un novērtēšana.","Test and evaluation of warships",8
"73435000-0","Militārās aviācijas, raķešu un kosmosa kuģu testi un novērtēšana.","Test and evaluation of military aircrafts, missiles and spacecrafts",8
"73436000-7","Militāro elektronisko sistēmu testi un novērtēšana.","Test and evaluation of military electronic systems",8
"75000000-6","Pārvaldes, aizsardzības un sociālā nodrošinājuma pakalpojumi.","Administration, defence and social security services",27
"75100000-7","Pārvaldes pakalpojumi.","Administration services",27
"75110000-0","Vispārējie sabiedriskie dienesti.","General public services",27
"75111000-7","Izpildvaras un likumdošanas pakalpojumi.","Executive and legislative services",27
"75111100-8","Izpildvaras pakalpojumi.","Executive services",27
"75111200-9","Likumdošanas pakalpojumi.","Legislative services",27
"75112000-4","Administratīvie pakalpojumi uzņēmējdarbībai.","Administrative services for business operations",27
"75112100-5","Administratīvie attīstības projektu pakalpojumi.","Administrative development project services",27
"75120000-3","Aģentūru administratīvie pakalpojumi.","Administrative services of agencies",27
"75121000-0","Administratīvie izglītības pakalpojumi.","Administrative educational services",27
"75122000-7","Administratīvie veselības aprūpes pakalpojumi.","Administrative healthcare services",27
